[2025-03-31 23:21:31,009: INFO: main: Welcome to our custom log]
[2025-04-01 22:56:56,892: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-01 22:56:56,920: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-01 22:56:56,938: INFO: common: created directory at: artifacts]
[2025-04-01 22:56:56,955: INFO: common: created directory at: data_ingestion]
[2025-04-01 22:56:56,976: INFO: 1120952329: Downloading data from https://drive.google.com/file/d/1e3q72lfBRd5KX8KulVX39q34vW3y2M2b/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-01 22:59:00,037: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-01 22:59:00,041: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-01 22:59:00,043: INFO: common: created directory at: artifacts]
[2025-04-01 22:59:00,044: INFO: common: created directory at: data_ingestion]
[2025-04-01 22:59:00,048: INFO: 1120952329: Downloading data from https://drive.google.com/file/d/1e3q72lfBRd5KX8KulVX39q34vW3y2M2b/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-01 23:02:14,805: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-01 23:02:14,810: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-01 23:02:14,812: INFO: common: created directory at: artifacts]
[2025-04-01 23:02:14,817: INFO: common: created directory at: data_ingestion]
[2025-04-01 23:02:14,825: INFO: 1120952329: Downloading data from https://drive.google.com/file/d/1e3q72lfBRd5KX8KulVX39q34vW3y2M2b/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-01 23:09:28,819: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-01 23:09:28,824: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-01 23:09:28,827: INFO: common: created directory at: artifacts]
[2025-04-01 23:09:28,830: INFO: common: created directory at: data_ingestion]
[2025-04-01 23:09:28,834: INFO: 1626317731: Downloading data from https://drive.google.com/file/d/1e3q72lfBRd5KX8KulVX39q34vW3y2M2b/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-01 23:44:26,140: INFO: 1626317731: File downloaded successfully: artifacts/data_ingestion/data.zip]
[2025-04-01 23:44:27,956: INFO: 1626317731: File extracted successfully to artifacts/data_ingestion]
[2025-04-02 08:18:48,788: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-04-02 08:18:48,791: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-04-02 08:18:48,793: INFO: common: yaml file: params.yaml loaded successfully]
[2025-04-02 08:18:48,795: INFO: common: created directory at: artifacts]
[2025-04-02 08:18:48,797: INFO: common: created directory at: data_ingestion]
[2025-04-02 08:18:48,798: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1e3q72lfBRd5KX8KulVX39q34vW3y2M2b/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-04-02 08:37:00,610: INFO: data_ingestion: File downloaded successfully: artifacts/data_ingestion/data.zip]
[2025-04-02 08:37:02,620: INFO: data_ingestion: File extracted successfully to artifacts/data_ingestion]
[2025-04-02 08:37:02,621: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
